year,geo,gender,Werkgelegenheidscijfer,housing,Leeftijdsverwachting,population,Armoedecijfer,Universitair onderwijs
2007,Belgium,Total,64.5,46.8,79.9,10584534,7,31.4
2007,Belgium,Males,68.8,52.3,77.1,5181408,6,26.1
2007,Belgium,Females,60.2,41.4,82.6,5403126,7.9,36.8
2007,Bulgaria,Total,59.4,64.4,73,7572673,58.1,14.5
2007,Bulgaria,Males,65.6,80,69.5,3686579,60.4,11
2007,Bulgaria,Females,52.9,48,76.6,3886094,55.7,18.3
2007,Czech Republic,Total,63.8,61.9,77,10254233,7.2,11.6
2007,Czech Republic,Males,74.1,70.8,73.8,5010595,7.7,9.6
2007,Czech Republic,Females,52.9,52.6,80.2,5243638,6.8,13.7
2007,Denmark,Total,78.2,12.3,78.4,5447084,5.9,19.9
2007,Denmark,Males,82,16.9,76.2,2696662,5.1,17.1
2007,Denmark,Females,74.3,7.6,80.6,2750422,6.6,22.8
2007,Germany (until 1990 former territory of the FRG),Total,68.1,47,80.1,82314906,6.9,11.4
2007,Germany (until 1990 former territory of the FRG),Males,71.3,57.3,77.4,40301166,5.6,9.5
2007,Germany (until 1990 former territory of the FRG),Females,64.9,35.5,82.7,42013740,8.2,13.3
2007,Estonia,Total,68.5,49.9,73.2,1342920,4.3,24.1
2007,Estonia,Males,78.4,55.9,67.5,62426,5.1,17.8
2007,Estonia,Females,58.2,43.9,78.9,71866,3.4,30.7
2007,Ireland,Total,77,57,79.7,4340118,4.1,36.2
2007,Ireland,Males,81.2,64.8,77.3,2172790,2.4,29.6
2007,Ireland,Females,72.9,49.3,82.1,2167328,5.7,42.8
2007,Greece,Total,57.7,68,79.7,11036008,11.5,20
2007,Greece,Males,65.9,75.8,76.9,5442245,11.6,16
2007,Greece,Females,48.9,60.1,82.5,5593763,11.3,24.3
2007,Spain,Total,69.4,67.7,81.1,44784666,4.1,31.4
2007,Spain,Males,75,71.7,77.9,22118976,4,26.7
2007,Spain,Females,63.5,63.3,84.4,22665690,4.3,36.3
2007,France,Total,64.5,29.6,81.3,63645065,5.9,34.6
2007,France,Males,69,34,77.6,30803233,5.8,29.9
2007,France,Females,60.2,25.4,84.8,32841832,5.9,39.2
2007,Italy,Total,53.5,73.9,81.6,58223744,8,13.6
2007,Italy,Males,61.9,80.2,78.8,28212234,8,10.2
2007,Italy,Females,45.1,67.4,84.2,30011510,8,17.1
2007,Cyprus,Total,74.8,68.1,79.8,757916,14,38.5
2007,Cyprus,Males,78.9,77.4,77.6,371514,14.9,26.7
2007,Cyprus,Females,70.9,58.9,82.1,386402,13.1,49.6
2007,Latvia,Total,70.1,63,70.8,2208840,20.6,18.4
2007,Latvia,Males,79.1,69.5,65.3,1013791,20.8,14.8
2007,Latvia,Females,60.9,56.5,76.2,1195049,20.5,22.1
2007,Lithuania,Total,62.1,62.2,70.7,3249983,15.5,27.1
2007,Lithuania,Males,68.6,69.6,64.5,1506794,14.6,22.2
2007,Lithuania,Females,55.8,54.9,77.2,1743189,16.4,32
2007,Luxembourg,Total,61.1,56.8,79.5,476187,0.8,23.4
2007,Luxembourg,Males,64.6,63.8,76.7,235792,0.8,19.2
2007,Luxembourg,Females,57.5,50,82.2,240395,0.8,27.6
2007,Hungary,Total,56,59.5,73.6,10066158,18.4,15.7
2007,Hungary,Males,64.4,68.8,69.4,4779078,19.7,12.4
2007,Hungary,Females,47.3,50.4,77.8,5287080,17.2,19.1
2007,Malta,Total,75,77.2,79.9,405616,4.4,20.5
2007,Malta,Males,81.2,83.6,77.5,201519,3.1,17.2
2007,Malta,Females,68.5,70.4,82.2,204097,5.8,24
2007,Netherlands,Total,83.6,37.2,80.4,16357992,2.2,26.2
2007,Netherlands,Males,86.6,46.1,78.1,8088514,1.9,22.1
2007,Netherlands,Females,80.6,28.2,82.5,8269478,2.6,30.3
2007,Austria,Total,73.9,54.1,80.3,8282984,3.7,10.1
2007,Austria,Males,78.3,61.1,77.4,4030062,3.3,9.1
2007,Austria,Females,69.6,47,83.1,4252922,4.2,11
2007,Poland,Total,58.6,67.4,75.4,38125479,22.2,20.8
2007,Poland,Males,65.2,74.8,71,18426775,22.5,15.6
2007,Poland,Females,52.1,59.8,79.8,19698704,21.8,26
2007,Portugal,Total,66.4,71.9,79.3,10532588,9,16.3
2007,Portugal,Males,71.3,77,75.9,5064395,7.5,10.4
2007,Portugal,Females,61.5,66.5,82.5,5468193,10.5,22.2
2007,Romania,Total,54.7,63.9,73.1,21130503,33.5,11.9
2007,Romania,Males,59,77.2,69.5,10289996,33.2,10.4
2007,Romania,Females,50.1,50.5,76.8,10840507,33.7,13.6
2007,Slovenia,Total,68.5,81.9,78.4,2010377,5,16.6
2007,Slovenia,Males,73.9,87.2,74.6,986982,5.2,10.7
2007,Slovenia,Females,62.7,76.3,82,1023395,4.8,23
2007,Slovakia,Total,60.7,81.2,74.6,5373180,11.5,12.9
2007,Slovakia,Males,70,86.4,70.6,2610655,10.9,10.8
2007,Slovakia,Females,51,75.5,78.4,2762525,12.1,15.1
2007,Finland,Total,71.3,18.2,79.6,5276955,5.3,17.7
2007,Finland,Males,75.8,25.8,76,2583742,4.5,13
2007,Finland,Females,66.8,10.3,83.1,2693213,6.2,22.4
2007,Sweden,Total,71.8,18.5,81.1,9113257,2.7,25.8
2007,Sweden,Males,75.1,21.7,79,4523523,3.1,21.5
2007,Sweden,Females,68.3,15.2,83.1,4589734,2.2,30.2
2007,United Kingdom,Total,74.7,38.4,79.7,61073279,5.7,30.1
2007,United Kingdom,Males,80.5,46,77.6,29894834,4,28.6
2007,United Kingdom,Females,69,31.1,81.8,31178445,7.3,31.5
2007,Iceland,Total,81.4,33.4,81.5,307672,2.4,16.4
2007,Iceland,Males,86.4,40.5,79.6,156576,1.6,12.8
2007,Iceland,Females,75.9,25.8,83.4,151096,3.4,20.4
2007,Norway,Total,77.2,18.2,80.6,4681134,4.7,27.4
2007,Norway,Males,78.9,23,78.3,2325788,4.2,21.2
2007,Norway,Females,75.3,13.1,82.9,2355346,5.2,33.8
2007,Switzerland,Total,80.3,44.3,82,7508739,3.5,20.8
2007,Switzerland,Males,83.9,54.6,79.5,3679359,3.8,20.6
2007,Switzerland,Females,76.5,34,84.4,3829380,3.1,21
2008,Belgium,Total,64.5,47.5,79.8,10666866,7.5,32.3
2008,Belgium,Males,68.3,55,76.9,5224309,6.1,26.3
2008,Belgium,Females,60.7,40.2,82.6,5442557,8.8,38.4
2008,Bulgaria,Total,61.9,67.2,73.3,7518002,35.5,14.8
2008,Bulgaria,Males,69.3,80.9,69.8,3660367,34.7,11.8
2008,Bulgaria,Females,53.9,53.2,77,3857635,36.4,18.1
2008,Czech Republic,Total,63.1,64.7,77.3,10343422,7.1,13.5
2008,Czech Republic,Males,72.7,72.6,74.1,5065117,6.7,11
2008,Czech Republic,Females,52.8,56.4,80.5,5278305,7.5,16.2
2008,Denmark,Total,78.8,9.8,78.8,5475791,2.8,19.1
2008,Denmark,Males,81.6,14.1,76.5,2712666,1.6,15.7
2008,Denmark,Females,76,5.4,81,2763125,4,22.6
2008,Germany (until 1990 former territory of the FRG),Total,69.5,46.1,80.2,82217837,7.6,12.4
2008,Germany (until 1990 former territory of the FRG),Males,72.6,56.1,77.6,40274292,6.8,10.5
2008,Germany (until 1990 former territory of the FRG),Females,66.3,35.7,82.7,41943545,8.3,14.4
2008,Estonia,Total,69.8,48,74.4,1338440,3.4,24.3
2008,Estonia,Males,79.9,53.5,68.9,62205,3.7,19.2
2008,Estonia,Females,59.5,42.4,79.5,71639,3,29.6
2008,Ireland,Total,73.2,57.8,80.2,4457765,5.9,36.1
2008,Ireland,Males,75.9,66.5,77.9,2226754,3.9,29
2008,Ireland,Females,70.6,48.8,82.4,2231011,8,43.1
2008,Greece,Total,58,67.1,80.2,11060937,11.8,21
2008,Greece,Males,65.8,76,77.5,5447947,10.7,16.5
2008,Greece,Females,49.8,58.2,83,5612990,13,25.7
2008,Spain,Total,66.2,65.2,81.5,45668939,4.3,31.1
2008,Spain,Males,69.5,68.7,78.3,22591483,3.9,26.1
2008,Spain,Females,62.7,61.5,84.6,23077456,4.7,36.3
2008,France,Total,65.2,34.3,81.4,64007193,6.6,34
2008,France,Males,69.9,38.6,77.8,30980230,6.4,29.3
2008,France,Females,60.7,29.9,84.8,33026963,6.8,38.5
2008,Italy,Total,53.4,72.8,81.7,58652875,9.3,14.3
2008,Italy,Males,61.6,78.8,78.9,28411242,10.1,10.9
2008,Italy,Females,45.1,66.7,84.2,30241633,8.4,17.7
2008,Cyprus,Total,74.1,60.7,80.6,776333,8.6,40.1
2008,Cyprus,Males,75.4,70.2,78.2,380458,9.4,28.1
2008,Cyprus,Females,72.9,51.3,82.9,395875,7.8,51.2
2008,Latvia,Total,71,62.6,72.1,2191810,14.4,21.3
2008,Latvia,Males,78.4,68.8,66.5,1007041,14.7,16.1
2008,Latvia,Females,63.3,56.4,77.5,1184769,14.1,26.7
2008,Lithuania,Total,61.8,59.1,71.7,3212605,12.6,28.8
2008,Lithuania,Males,67,68,65.9,1487419,9.9,23.6
2008,Lithuania,Females,56.4,51,77.6,1725186,15.2,34
2008,Luxembourg,Total,59.5,58.2,80.7,483799,0.5,24.9
2008,Luxembourg,Males,61.6,66.5,78.1,239607,0.2,21.4
2008,Luxembourg,Females,57.4,49.7,83.1,244192,0.7,28.4
2008,Hungary,Total,54.8,61.6,74.2,10045401,18.9,16.7
2008,Hungary,Males,62.6,71.1,70,4769562,19,13.3
2008,Hungary,Females,46.9,51.9,78.3,5275839,18.7,20.1
2008,Malta,Total,76.1,81.2,79.7,407832,3.9,19.8
2008,Malta,Males,82.3,87.5,77.1,202734,3.8,17.9
2008,Malta,Females,69.5,74.4,82.3,205098,4.1,21.8
2008,Netherlands,Total,83.5,37.1,80.5,16405399,1.8,27.5
2008,Netherlands,Males,86,46.8,78.4,8112073,1.9,23.6
2008,Netherlands,Females,81,27.3,82.5,8293326,1.7,31.5
2008,Austria,Total,74.6,52.7,80.6,8307989,7.2,10.3
2008,Austria,Males,78.7,60.5,77.7,4042489,7.2,9.1
2008,Austria,Females,70.5,44.2,83.3,4265500,7.1,11.4
2008,Poland,Total,62,67.7,75.6,38115641,16.7,22.3
2008,Poland,Males,69.4,74.3,71.3,18411501,17.1,16.6
2008,Poland,Females,54.6,61,80,19704140,16.3,28
2008,Portugal,Total,67.7,75,79.5,10553339,9.6,17.9
2008,Portugal,Males,72.3,79.7,76.2,5069747,9.5,11.4
2008,Portugal,Females,63.2,70.1,82.7,5483592,9.6,24.5
2008,Romania,Total,53.8,66.9,73.5,20635460,30.4,13.2
2008,Romania,Males,58.5,79.5,69.7,10049194,31.7,11.5
2008,Romania,Females,48.9,53.9,77.5,10586266,29,15
2008,Slovenia,Total,69.5,82.7,79.1,2010269,6.8,16.8
2008,Slovenia,Males,73.8,88.1,75.5,986533,7.5,11.2
2008,Slovenia,Females,64.8,77,82.6,1023736,6,23.1
2008,Slovakia,Total,60.2,79.2,74.9,5376064,11.2,14
2008,Slovakia,Males,69.9,83.8,70.9,2613688,11.8,11.6
2008,Slovakia,Females,50.2,74.3,79,2762376,10.5,16.5
2008,Finland,Total,72.4,17.9,79.9,5300484,5.4,17.6
2008,Finland,Males,76.8,25.1,76.5,2596787,4.7,12.8
2008,Finland,Females,68,10.4,83.3,2703697,6.2,22.4
2008,Sweden,Total,71.9,20,81.3,9182927,1.5,26.1
2008,Sweden,Males,75.7,23.3,79.2,4563921,1.2,22.1
2008,Sweden,Females,68,16.5,83.3,4619006,1.8,30.2
2008,United Kingdom,Total,74,41.7,79.8,61571647,7.7,30.4
2008,United Kingdom,Males,79.3,50.3,77.7,30164349,6.6,28.5
2008,United Kingdom,Females,68.8,33.5,81.8,31407298,8.7,32.3
2008,Iceland,Total,79.1,35,81.6,315459,1.8,16.1
2008,Iceland,Males,83.6,42.1,80,160896,2.1,11.4
2008,Iceland,Females,74.2,27.5,83.3,154563,1.5,21.4
2008,Norway,Total,78.3,15.1,80.8,4737171,4.5,27
2008,Norway,Males,79.7,18.3,78.4,2359690,4.8,21.1
2008,Norway,Females,76.9,11.9,83.2,2377481,4.2,33.1
2008,Switzerland,Total,80.7,48.3,82.3,7593494,2.8,22.6
2008,Switzerland,Males,81.8,58.5,79.8,3727014,2.8,21.7
2008,Switzerland,Females,79.6,37.8,84.6,3866480,2.9,23.5
2009,Belgium,Total,61.8,49.4,80.2,10753080,6.6,33.5
2009,Belgium,Males,65.2,56.7,77.4,5268651,6.5,28
2009,Belgium,Females,58.5,42.3,82.8,5484429,6.6,39.1
2009,Bulgaria,Total,57.8,69.6,73.7,7467119,36.6,15.4
2009,Bulgaria,Males,64.8,83,70.2,3635855,35.6,10.6
2009,Bulgaria,Females,50.2,55.4,77.4,3831264,37.7,20.8
2009,Czech Republic,Total,60.1,66.2,77.4,10425783,6.3,15.6
2009,Czech Republic,Males,69.6,74.5,74.3,5116678,6.4,12.9
2009,Czech Republic,Females,49.8,58.1,80.5,5309105,6.2,18.5
2009,Denmark,Total,74.5,12.9,79,5511451,4.8,18.8
2009,Denmark,Males,74.7,17.2,76.9,2732020,5,14.3
2009,Denmark,Females,74.2,8.6,81.1,2779431,4.6,23.6
2009,Germany (until 1990 former territory of the FRG),Total,68.8,48,80.3,82002356,7.6,13.4
2009,Germany (until 1990 former territory of the FRG),Males,70.9,58.2,77.8,40184283,6.5,11.4
2009,Germany (until 1990 former territory of the FRG),Females,66.6,37.6,82.8,41818073,8.5,15.6
2009,Estonia,Total,59.2,47.7,75.3,1335740,5.8,25.1
2009,Estonia,Males,64.6,55.3,70,62132,5.4,16.7
2009,Estonia,Females,53.7,40.1,80.3,71442,6.3,33.8
2009,Ireland,Total,64.6,54.4,80.2,4521322,7.9,37.1
2009,Ireland,Males,63,60.7,77.8,2252658,5.8,30.8
2009,Ireland,Females,66.1,47.8,82.7,2268664,10.1,43.2
2009,Greece,Total,57.3,66.8,80.4,11094745,11,21.6
2009,Greece,Males,64.5,75.9,77.5,5456095,8.5,16.5
2009,Greece,Females,49.7,56.8,83.3,5638650,13.7,27.1
2009,Spain,Total,57.7,65.7,81.9,46239273,4.8,30.2
2009,Spain,Males,58.7,71.4,78.8,22880534,4.2,25.2
2009,Spain,Females,56.6,59.7,85,23358739,5.5,35.4
2009,France,Total,63.7,36.3,81.5,64350226,7,34.7
2009,France,Males,67.4,42.2,78,31147979,7,30.5
2009,France,Females,60.2,30.5,85,33202247,7,38.8
2009,Italy,Total,49.9,73,81.8,59000586,9.5,14.7
2009,Italy,Males,57.3,77.8,79.1,28570007,9.5,11.2
2009,Italy,Females,42.3,68.1,84.3,30430579,9.5,18.3
2009,Cyprus,Total,71.9,66.5,81,79693,11.8,41.3
2009,Cyprus,Males,72.8,76.3,78.5,389926,12.9,28.7
2009,Cyprus,Females,71,56.6,83.5,407004,10.7,53
2009,Latvia,Total,57.2,60.8,72.8,2162834,20,21
2009,Latvia,Males,60.2,67.9,67.5,992648,19.7,15.4
2009,Latvia,Females,54.2,53.5,77.7,1170186,20.4,26.7
2009,Lithuania,Total,55.9,62,72.9,3183856,13.5,29.1
2009,Lithuania,Males,55.9,68.2,67.1,1473352,14.2,23.9
2009,Lithuania,Females,55.9,55.7,78.7,1710504,12.9,34.3
2009,Luxembourg,Total,63.2,57.5,80.8,4935,1,30.2
2009,Luxembourg,Males,65.7,65.8,78.1,244835,0.4,25.6
2009,Luxembourg,Females,60.7,49.2,83.3,248665,1.6,34.8
2009,Hungary,Total,51.2,68.4,74.4,10030975,22.2,16.9
2009,Hungary,Males,57.1,76.3,70.3,4763050,22.9,13.9
2009,Hungary,Females,45,60.2,78.4,5267925,21.4,19.9
2009,Malta,Total,73.3,80.7,80.4,410926,3.1,19.8
2009,Malta,Males,79.6,86,77.9,204607,3,16
2009,Malta,Females,66.7,74.9,82.7,206319,3.1,23.8
2009,Netherlands,Total,82.4,36.4,80.9,16485787,1.5,27.9
2009,Netherlands,Males,83.7,43.7,78.7,8156396,2,24.1
2009,Netherlands,Females,80.9,29,82.9,8329391,0.9,31.7
2009,Austria,Total,73.7,52.9,80.5,8335003,4.8,11.9
2009,Austria,Males,76.5,61.4,77.6,4056935,4.5,10.1
2009,Austria,Females,71,44.1,83.2,4278068,5.2,13.6
2009,Poland,Total,61.5,67.6,75.9,38135876,13.9,25.2
2009,Poland,Males,68.9,74.7,71.5,18414926,14.2,18.5
2009,Poland,Females,54,60.8,80.1,19720950,13.6,31.9
2009,Portugal,Total,65.1,73.8,79.7,10563014,8.6,19
2009,Portugal,Males,67.1,78,76.5,5066239,9,13.3
2009,Portugal,Females,63,69.5,82.8,5496775,8.3,24.7
2009,Romania,Total,51.7,69.6,73.7,20440290,30.3,14.1
2009,Romania,Males,56.1,81.7,69.8,9951873,32.3,11.9
2009,Romania,Females,47,57.4,77.7,10488417,28.2,16.5
2009,Slovenia,Total,64.7,81.8,79.4,2032362,5.8,16.6
2009,Slovenia,Males,68.9,87.5,75.9,1003945,6.2,10.6
2009,Slovenia,Females,60.1,75.4,82.7,1028417,5.4,23.3
2009,Slovakia,Total,55.7,79.6,75.3,5382401,11.6,16.4
2009,Slovakia,Males,64.5,84.7,71.4,2618337,11.4,13.4
2009,Slovakia,Females,46.6,73.8,79.1,2764064,11.9,19.5
2009,Finland,Total,67.3,15.8,80.1,5326314,4.5,19.2
2009,Finland,Males,69.4,22.9,76.6,2611653,4.1,13.3
2009,Finland,Females,65.2,8.4,83.5,2714661,5,25.4
2009,Sweden,Total,67.2,19.8,81.5,9256347,1.5,26.3
2009,Sweden,Males,69.6,22.8,79.4,4603710,1.9,22.3
2009,Sweden,Females,64.7,16.6,83.5,4652637,1.2,30.4
2009,United Kingdom,Total,70.9,42.3,80.4,62042343,4.3,31.5
2009,United Kingdom,Males,74.8,52.7,78.3,30416523,4.7,29.4
2009,United Kingdom,Females,67.2,32.5,82.4,31625820,3.9,33.6
2009,Iceland,Total,69.6,34.3,81.8,319368,1.5,17
2009,Iceland,Males,71.1,40.7,79.8,162068,1.3,13.4
2009,Iceland,Females,67.9,27.4,83.8,1573,1.8,20.9
2009,Norway,Total,75.2,15.4,81,4799252,4.9,26.4
2009,Norway,Males,76.8,18.1,78.7,2395053,5.3,20.3
2009,Norway,Females,73.7,12.5,83.2,2404199,4.6,32.7
2009,Switzerland,Total,77.9,50.1,82.3,7701856,3.3,22.4
2009,Switzerland,Males,79.2,57.9,79.9,3786675,3.7,22.3
2009,Switzerland,Females,76.5,42,84.6,3915181,2.8,22.6
2010,Belgium,Total,61,47.2,80.3,10839905,6.4,33.2
2010,Belgium,Males,64.3,52.8,77.5,5312221,6.4,27.8
2010,Belgium,Females,57.7,42.1,83,5527684,6.4,38.5
2010,Bulgaria,Total,54.1,72.4,73.8,7421766,41.2,16.3
2010,Bulgaria,Males,59.2,85.1,70.3,3613958,40.7,11.1
2010,Bulgaria,Females,48.7,58.9,77.4,3807808,41.8,21.9
2010,Czech Republic,Total,58.4,63.7,77.7,10462088,6.4,16.8
2010,Czech Republic,Males,67.8,73,74.5,5136166,5.8,13.8
2010,Czech Republic,Females,48.4,54.4,80.9,5325922,7,20.1
2010,Denmark,Total,70.3,14.2,79.3,5534738,4.7,19
2010,Denmark,Males,71.1,20.2,77.2,2743286,3.1,14.3
2010,Denmark,Females,69.5,8.4,81.4,2791452,6.3,24
2010,Germany (until 1990 former territory of the FRG),Total,69.5,47.6,80.5,81802257,6.2,13.7
2010,Germany (until 1990 former territory of the FRG),Males,71.9,56.6,78,40103606,5.9,11.7
2010,Germany (until 1990 former territory of the FRG),Females,67.1,38.3,83,41698651,6.4,15.8
2010,Estonia,Total,56.2,47.3,76,1333290,8.7,25.2
2010,Estonia,Males,61.1,53.7,70.9,6208,9.4,16.5
2010,Estonia,Females,51.1,40.8,80.8,71249,8,34.2
2010,Ireland,Total,60.2,54.9,80.8,4549428,7.4,36.6
2010,Ireland,Males,58.5,64.6,78.5,2260974,6.1,30.1
2010,Ireland,Females,61.9,44.5,83.1,2288454,8.8,42.9
2010,Greece,Total,53.5,68.3,80.6,11119289,14.2,22.5
2010,Greece,Males,61.1,78.7,78,5460865,12.8,16.6
2010,Greece,Females,45.8,57.9,83.3,5658424,15.7,28.4
2010,Spain,Total,54.7,65.2,82.4,46486619,5.9,30.8
2010,Spain,Males,55.2,70.5,79.2,22982272,5.3,24.9
2010,Spain,Females,54.2,59.9,85.5,23504347,6.5,36.9
2010,France,Total,63.1,37.2,81.8,64658856,6.5,34.1
2010,France,Males,67,43.1,78.2,31301764,6.3,30
2010,France,Females,59.2,31.4,85.3,33357092,6.7,38.2
2010,Italy,Total,47.5,72.6,82.2,59190143,8.1,14.3
2010,Italy,Males,54.5,78.3,79.5,28649385,7.6,11.1
2010,Italy,Females,40.5,66.8,84.7,30540758,8.6,17.6
2010,Cyprus,Total,70.6,63,81.5,81914,14.2,42.3
2010,Cyprus,Males,71.2,70.5,79.2,399605,16.2,30.1
2010,Cyprus,Females,70,55.6,83.9,419535,12.2,53.7
2010,Latvia,Total,56,61.2,73.1,2120504,25.6,23.5
2010,Latvia,Males,58.1,68.2,67.9,970931,26.7,14.7
2010,Latvia,Females,53.8,54,78,1149573,24.5,32.6
2010,Lithuania,Total,50.7,60.5,73.3,3141976,19.6,30
2010,Lithuania,Males,49.9,67,67.6,1450199,23.7,23.2
2010,Lithuania,Females,51.5,54.4,78.9,1691777,15.4,37.1
2010,Luxembourg,Total,60.5,59.8,80.8,502066,0.8,27.8
